,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,0.717,"Tarifa 1 -R6 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,,Tarifa 1 -R6 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,,Tarifa 1 -R6 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,88.3,Tarifa 1 -R6 Tarifa Social con ahorro
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,0.511,Tarifa 1 -R6 Tarifa Social con ahorro
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,88.3,"Tarifa 1 -R6 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,0.763,"Tarifa 1 -R6 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,,Tarifa 1 -R6 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,,Tarifa 1 -R6 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo + 600,$/bim,87.77,Tarifa 1 -R7 Tarifa Social con ahorro
